SampleGeneratedData,,,,,,,,,,,,,,,,,
SerialNumber,Test Pass/Fail Status,errCode,TesterID,timeStamp,SOCKET,Vf_LED0_10mA_V,Vf_LED0_20mA_V,Vf_LED1_20mA_V,Vf_LED2_20mA_V,LED0_Ir_20mA_nA,Vj_LED0_20mA_V,NearFieldTest_LED0_5mA_nA,NearFieldTest_LED0_20mA_nA,NearFieldTest_LED1_20mA_nA,NearFieldTest_LED2_Near_20mA_nA,FarFieldTest_LED1_20mA_nA,FarFieldTest_LED2_20mA_nA
6N5Q93P9044G2K123,PASS,0,A1_golden,660843065.2,A1,0.5763,0.9139,1.2121,0.4389,-0.0402,0.779,60.0479,144.0004,270.8998,172.6651,189.9466,104.3236
029G26P453UK1039N,PASS,0,A1_golden,660843138.1,A1,0.5765,0.914,1.2141,0.439,-0.0351,0.7789,59.8453,144.0555,274.4164,171.8675,192.1858,105.3429
029G26P453UK1039N,PASS,0,A1_golden,660843196.4,A1,0.5764,0.9139,1.2141,0.4389,-0.0365,0.779,59.7199,144.1679,274.5183,171.4487,192.3342,105.4575
029G26P453UK1039N,PASS,0,A1_golden,660843254,A1,0.5764,0.9139,1.2144,0.4389,-0.0255,0.7777,59.6195,143.8865,274.6202,172.0102,192.1363,105.26
0KP92F52N94G61K73,PASS,0,A1_golden,660843327.6,A1,0.5771,0.9091,1.2145,0.4397,-0.0331,0.7781,59.4286,140.5468,267.4852,168.071,189.4394,103.3616
0KP92F52N94G61K73,PASS,0,A1_golden,660843384.8,A1,0.577,0.9088,1.2142,0.4396,-0.0234,0.7774,58.9355,140.1298,268.1732,168.3596,188.9569,103.2852
0KP92F52N94G61K73,PASS,0,A1_golden,660843442.8,A1,0.577,0.9085,1.213,0.4396,-0.0302,0.7786,59.1884,140.4298,267.8165,167.6501,189.2909,103.196
21L5P2369N925KG04,PASS,0,A1_golden,660843516.8,A1,0.5777,0.927,1.2212,0.4401,-0.0163,0.7798,59.584,143.8494,282.4432,171.6281,197.5177,107.8974
21L5P2369N925KG04,PASS,0,A1_golden,660843574.8,A1,0.5775,0.9266,1.2199,0.4401,-0.0332,0.7795,60.1496,143.8265,282.01,171.3485,197.7899,107.7254
21L5P2369N925KG04,PASS,0,A1_golden,660843633.1,A1,0.5775,0.9265,1.2197,0.4401,-0.0413,0.7784,59.2896,143.6239,282.061,171.1085,197.4435,108.1331
K4Q95N2209236FG1P,PASS,0,A1_golden,660843705.5,A1,0.5767,0.9074,1.212,0.4394,-0.0338,0.7789,58.7638,140.6648,276.1746,167.6753,194.1899,106.2284
K4Q95N2209236FG1P,PASS,0,A1_golden,660843763.5,A1,0.5766,0.9076,1.2123,0.4393,-0.0315,0.779,58.8876,140.9387,276.2511,167.8355,194.4002,106.4195
K4Q95N2209236FG1P,PASS,0,A1_golden,660843821.8,A1,0.5765,0.9075,1.2123,0.4393,-0.0359,0.7796,58.4962,140.5018,276.353,167.3771,194.3384,106.2156
NK9D06PG3524P9129,PASS,0,A1_golden,660843895.6,A1,0.5776,0.9167,1.2187,0.4399,-0.0428,0.779,61.2139,146.6494,282.01,174.9532,197.6291,108.6364
NK9D06PG3524P9129,PASS,0,A1_golden,660843953.5,A1,0.5775,0.916,1.2191,0.4398,-0.0388,0.7805,61.0664,146.6044,281.8061,174.6592,197.6043,108.7511
NK9D06PG3524P9129,PASS,0,A1_golden,660844012.1,A1,0.5775,0.916,1.2191,0.4398,-0.0332,0.7778,61.0354,146.772,281.8571,174.3603,197.5177,108.5472
K634N9DFG1230P295,PASS,0,A1_golden,660844085.6,A1,0.5783,0.9132,1.2122,0.4406,-0.0333,0.7774,58.8367,140.7356,272.4033,168.5753,191.5301,104.8014
K634N9DFG1230P295,PASS,0,A1_golden,660844143.5,A1,0.5781,0.913,1.2124,0.4405,-0.0316,0.778,58.9808,141.1042,272.5816,168.3911,191.5301,104.7822
K634N9DFG1230P295,PASS,0,A1_golden,660844201.5,A1,0.5781,0.9131,1.2122,0.4405,-0.034,0.7781,59.1177,140.9141,271.9191,168.0089,191.7404,104.9033
13P92K6NL49D5C0G2,PASS,0,A1_golden,660844274.3,A1,0.577,0.9163,1.2239,0.4392,-0.0351,0.7782,60.6435,145.8817,287.6161,172.8017,200.5116,110.0634
13P92K6NL49D5C0G2,PASS,0,A1_golden,660844332.6,A1,0.5769,0.9161,1.223,0.4392,-0.0391,0.7751,60.2585,145.6198,287.2848,173.1337,200.3755,109.9551
13P92K6NL49D5C0G2,PASS,0,A1_golden,660844390.7,A1,0.5769,0.9159,1.223,0.4391,-0.0278,0.7781,60.2462,145.5921,287.4632,172.6905,200.5487,109.9678
9NK55P301349GP226,PASS,0,A1_golden,660844464.3,A1,0.5764,0.9145,1.2119,0.439,-0.0316,0.7782,60.1311,145.4353,273.2442,173.5412,191.5548,105.018
9NK55P301349GP226,PASS,0,A1_golden,660844523.4,A1,0.5763,0.9141,1.213,0.4389,-0.0357,0.7798,60.1394,145.6114,273.3461,173.4899,191.4188,104.9925
9NK55P301349GP226,PASS,0,A1_golden,660844581.1,A1,0.5762,0.9142,1.2132,0.4389,-0.0413,0.7796,59.9219,145.3958,273.1422,173.3684,191.493,105.0116
32490K6211G9T5PN3,PASS,0,A1_golden,660844653.7,A1,0.5766,0.9144,1.2136,0.439,-0.0343,0.7787,59.7034,144.1365,272.1739,171.5349,191.4559,104.6421
32490K6211G9T5PN3,PASS,0,A1_golden,660844711.5,A1,0.5765,0.9141,1.2135,0.4389,-0.0346,0.7786,59.8704,144.1044,272.3778,171.6655,191.1713,104.5211
32490K6211G9T5PN3,PASS,0,A1_golden,660844769.6,A1,0.5765,0.9141,1.2134,0.4389,-0.0284,0.7789,59.7761,144.1798,272.1739,171.6841,191.4311,104.4701
6421V9302GR5HPKN9,PASS,0,A1_golden,660844842.6,A1,0.5769,0.9076,1.2132,0.4394,-0.0391,0.7781,59.1536,140.8282,275.8433,167.5584,193.8559,105.7251
6421V9302GR5HPKN9,PASS,0,A1_golden,660844900.6,A1,0.5768,0.9072,1.2104,0.4393,-0.0352,0.7773,58.8642,140.5897,275.8943,167.8747,193.8806,105.8971
6421V9302GR5HPKN9,PASS,0,A1_golden,660844958.9,A1,0.5768,0.9072,1.2088,0.4393,-0.0392,0.7772,58.5617,140.3829,275.7924,168.4559,193.893,105.9289
A2NTPKU315T64209G,PASS,0,A1_golden,660845032.3,A1,0.5771,0.9083,1.2103,0.4398,-0.0272,0.7803,60.207,145.1533,277.6016,173.1945,195.2414,107.3687
A2NTPKU315T64209G,PASS,0,A1_golden,660845089.6,A1,0.577,0.908,1.2104,0.4397,-0.0318,0.7767,60.7842,145.2604,278.3406,173.4545,195.3157,107.4833
A2NTPKU315T64209G,PASS,0,A1_golden,660845148.5,A1,0.577,0.9078,1.2143,0.4397,-0.0219,0.7783,60.7205,145.3679,277.4232,173.2131,195.3033,107.2922
0522H4N6995KP31GF,PASS,0,A1_golden,660845221.2,A1,0.5764,0.9094,1.2089,0.4392,-0.041,0.7777,59.8467,143.8447,280.0989,172.3271,196.392,107.9357
0522H4N6995KP31GF,PASS,0,A1_golden,660845279,A1,0.5763,0.909,1.2114,0.4391,-0.0377,0.7803,59.9044,143.6993,280.4046,172.4424,196.4538,107.8274
0522H4N6995KP31GF,PASS,0,A1_golden,660845336.8,A1,0.5762,0.9089,1.2108,0.4391,-0.0426,0.7797,59.8951,143.7267,280.0989,172.064,196.5899,107.9293
F6N2926P04G9L5K31,PASS,0,A1_golden,660845410.8,A1,0.5781,0.909,1.2089,0.4406,-0.0397,0.7779,58.8156,141.4101,275.5885,169.0596,193.4724,105.9226
F6N2926P04G9L5K31,PASS,0,A1_golden,660845469.2,A1,0.5779,0.9088,1.2132,0.4406,-0.0297,0.7783,58.6681,141.3408,275.7159,169.0452,193.3239,106.171
F6N2926P04G9L5K31,PASS,0,A1_golden,660845527.4,A1,0.5779,0.9086,1.2131,0.4405,-0.0294,0.7787,58.82,141.8349,275.7924,169.3275,193.559,106.0691
092N5KPC264V163G9,PASS,0,A1_golden,660845600.9,A1,0.5766,0.9134,1.2078,0.439,-0.0398,0.7791,60.6049,146.0261,278.417,172.9873,195.2414,107.0565
092N5KPC264V163G9,PASS,0,A1_golden,660845659,A1,0.5765,0.913,1.213,0.439,-0.0263,0.7775,60.824,145.9828,277.7035,172.9851,195.2538,107.0756
092N5KPC264V163G9,PASS,0,A1_golden,660845717.5,A1,0.5764,0.9132,1.2126,0.4389,-0.0426,0.7796,60.5804,146.0817,278.3406,172.6978,195.1672,107.082
0326NA9G4D5129NPK,PASS,0,A1_golden,660845790.8,A1,0.5769,0.9161,1.2264,0.4391,-0.0253,0.7776,59.4981,143.993,283.3096,170.4741,198.5693,108.8403
0326NA9G4D5129NPK,PASS,0,A1_golden,660845849.4,A1,0.5768,0.916,1.2222,0.439,-0.0389,0.7784,59.7094,144.0461,283.1312,170.6389,198.5198,108.853
0326NA9G4D5129NPK,PASS,0,A1_golden,660845907.2,A1,0.5768,0.916,1.2255,0.439,-0.0233,0.7789,59.5722,144.0568,283.1312,170.8299,198.4827,108.6173
5P290193K246G3NS2,PASS,0,A1_golden,660845980.2,A1,0.5766,0.9153,1.2131,0.439,-0.0317,0.7787,59.8441,144.1824,270.3902,172.1395,189.8476,103.9859
5P290193K246G3NS2,PASS,0,A1_golden,660846037.6,A1,0.5765,0.9153,1.2131,0.4389,-0.0367,0.7783,59.8152,144.3122,270.3902,172.0027,189.8476,104.005
5P290193K246G3NS2,PASS,0,A1_golden,660846095.6,A1,0.5764,0.9151,1.2129,0.4389,-0.0438,0.7771,60.0649,144.0366,270.5176,172.2504,189.8724,103.7757
HPK12PX5N9924G603,PASS,0,A1_golden,660846168.9,A1,0.5771,0.9079,1.2116,0.4394,-0.0311,0.7778,60.358,144.6359,276.8117,173.1065,194.5858,106.3812
HPK12PX5N9924G603,PASS,0,A1_golden,660846227.8,A1,0.5769,0.9076,1.2128,0.4393,-0.0321,0.7774,60.4527,144.5078,277.0155,173.2391,194.6476,106.4322
HPK12PX5N9924G603,PASS,0,A1_golden,660846285.9,A1,0.5769,0.9075,1.2124,0.4393,-0.0319,0.7789,60.4958,144.3586,276.6078,173.1839,194.3507,106.5724
9P542G1HM096NK2Z3,PASS,0,A1_golden,660846359,A1,0.5769,0.9088,1.2129,0.4393,-0.0305,0.7791,60.4309,144.6601,280.4046,172.6641,196.7755,108.0503
9P542G1HM096NK2Z3,PASS,0,A1_golden,660846417.4,A1,0.5768,0.9087,1.2128,0.4393,-0.029,0.7771,60.5354,144.4473,280.2517,172.6572,197.159,108.0248
9P542G1HM096NK2Z3,PASS,0,A1_golden,660846476.3,A1,0.5768,0.9084,1.2126,0.4393,-0.0221,0.7783,60.2105,144.3874,280.1753,172.464,197.0353,108.1777
4K25609GH1P69E3N2,PASS,0,A1_golden,660846550.1,A1,0.5767,0.9095,1.2119,0.4394,-0.0337,0.7778,59.5904,143.6239,283.0803,171.5065,198.1487,108.8594
4K25609GH1P69E3N2,PASS,0,A1_golden,660846608.5,A1,0.5766,0.9093,1.2122,0.4393,-0.0273,0.7788,59.5962,143.4962,283.0548,171.3376,197.9136,108.9613
4K25609GH1P69E3N2,PASS,0,A1_golden,660846666.7,A1,0.5766,0.9092,1.2128,0.4393,-0.0322,0.7768,59.9131,143.5594,283.386,172.13,198.3219,109.025
0G0K4292951SPFN36,PASS,0,A1_golden,660846740.9,A1,0.5767,0.9086,1.2131,0.4395,-0.0355,0.7792,58.5837,140.5802,273.3461,168.1553,191.7775,104.572
0G0K4292951SPFN36,PASS,0,A1_golden,660846798.7,A1,0.5766,0.9081,1.2136,0.4394,-0.0263,0.7785,58.3834,140.6898,273.3971,167.9258,191.6043,104.6357
0G0K4292951SPFN36,PASS,0,A1_golden,660846857,A1,0.5766,0.9081,1.2123,0.4394,-0.0336,0.7775,58.417,140.4929,272.7091,167.6289,191.6662,104.744
2N4D2576309GRK91P,PASS,0,A1_golden,660846929.6,A1,0.5767,0.9159,1.2131,0.439,-0.0291,0.7776,60.5706,146.4247,274.4928,174.0895,192.6188,105.2346
2N4D2576309GRK91P,PASS,0,A1_golden,660846987.8,A1,0.5766,0.9156,1.2131,0.4389,-0.0248,0.7773,60.7362,146.5228,275.1044,174.1954,193.2126,105.2664
2N4D2576309GRK91P,PASS,0,A1_golden,660847046.4,A1,0.5765,0.9154,1.2128,0.4389,-0.0262,0.7784,60.6245,146.4935,275.0279,174.0407,192.8909,105.3429
GPD5NK36292T01945,PASS,0,A1_golden,660847119.6,A1,0.5764,0.9163,1.2121,0.4388,-0.0259,0.7793,60.7705,147.2893,275.5376,174.6266,192.4579,105.5595
GPD5NK36292T01945,PASS,0,A1_golden,660847177.9,A1,0.5763,0.9163,1.2118,0.4388,-0.0421,0.7785,60.9822,147.3716,275.7924,174.7932,192.8662,105.6805
GPD5NK36292T01945,PASS,0,A1_golden,660847236,A1,0.5762,0.9163,1.2099,0.4388,-0.045,0.7773,60.7489,147.245,275.8688,174.6705,192.7177,105.4894
9P54K2GD916N0243U,PASS,0,A1_golden,660847310.7,A1,0.5767,0.9151,1.2123,0.439,-0.0234,0.7782,61.0024,147.2392,283.9466,174.6628,197.8023,108.904
9P54K2GD916N0243U,PASS,0,A1_golden,660847368.4,A1,0.5765,0.9149,1.2123,0.439,-0.036,0.7789,60.7621,147.2344,283.8192,174.9363,197.7652,108.8212
9P54K2GD916N0243U,PASS,0,A1_golden,660847425.8,A1,0.5765,0.9149,1.2124,0.4389,-0.0335,0.7784,61.0226,147.2244,283.8192,174.3539,197.8765,108.9613
21P62CLGN903D5K49,PASS,0,A1_golden,660847499.1,A1,0.5772,0.9147,1.2216,0.4394,-0.0405,0.7786,61.0046,147.0419,287.8964,174.9614,200.326,110.624
21P62CLGN903D5K49,PASS,0,A1_golden,660847557.2,A1,0.5771,0.9147,1.2212,0.4394,-0.0317,0.779,61.1497,146.9514,288.2786,174.7454,200.9569,110.573
21P62CLGN903D5K49,PASS,0,A1_golden,660847615.8,A1,0.577,0.9147,1.2196,0.4394,-0.038,0.7778,61.1008,147.1877,288.1512,175.1268,200.9074,110.503
91P9GF452037N2KK6,PASS,0,A1_golden,660847689,A1,0.5779,0.91,1.2127,0.4404,-0.0348,0.7784,58.6592,139.6023,272.9894,167.8224,191.1837,104.5975
91P9GF452037N2KK6,PASS,0,A1_golden,660847746.8,A1,0.5778,0.9097,1.2122,0.4404,-0.0383,0.7791,58.3929,139.5236,272.8874,167.4752,191.0724,104.7058
91P9GF452037N2KK6,PASS,0,A1_golden,660847804.7,A1,0.5778,0.9099,1.2128,0.4404,-0.0275,0.7781,58.5443,139.4204,273.0403,167.1368,191.3445,104.9097
N6629G2G1P035945K,PASS,0,A1_golden,660847878.7,A1,0.5768,0.9279,1.2123,0.439,-0.0365,0.7786,60.4743,146.0977,276.0982,173.1332,193.2744,105.8652
N6629G2G1P035945K,PASS,0,A1_golden,660847937.2,A1,0.5767,0.9273,1.2119,0.4389,-0.0366,0.7783,60.8973,145.9488,275.6395,172.9295,193.3487,105.8461
N6629G2G1P035945K,PASS,0,A1_golden,660847995,A1,0.5767,0.9271,1.213,0.4389,-0.0339,0.779,60.8373,145.8956,276.2256,172.9606,193.3239,106.0691
631P929GE05N4K02V,PASS,0,A1_golden,660848068.9,A1,0.5766,0.9117,1.214,0.4392,-0.0478,0.779,60.2397,143.9609,278.8502,172.8647,195.8847,107.5534
631P929GE05N4K02V,PASS,0,A1_golden,660848127.1,A1,0.5765,0.9115,1.2133,0.4392,-0.0375,0.7792,59.9498,144.1032,278.9522,172.3992,195.8105,107.5343
631P929GE05N4K02V,PASS,0,A1_golden,660848185.7,A1,0.5765,0.9115,1.2135,0.4391,-0.0413,0.7783,60.4905,143.9957,278.9267,172.5309,195.9342,107.6235
P9XK4G12N3E6250Y9,PASS,0,A1_golden,660848258.8,A1,0.5767,0.9104,1.2145,0.4393,-0.028,0.7792,59.7613,141.5984,271.1801,168.9637,191.6291,104.7504
P9XK4G12N3E6250Y9,PASS,0,A1_golden,660848317.3,A1,0.5766,0.9102,1.2106,0.4392,-0.0364,0.7787,58.9767,141.5922,271.1801,168.885,191.3816,104.7058
P9XK4G12N3E6250Y9,PASS,0,A1_golden,660848374.9,A1,0.5765,0.9106,1.2143,0.4392,-0.0422,0.7788,59.6704,141.845,271.384,168.9769,191.394,104.8714
3H5946B2K3PG2N019,PASS,0,A1_golden,660848448.3,A1,0.5774,0.9136,1.2138,0.4398,-0.0442,0.778,59.0044,140.9942,268.6064,167.7048,189.9713,104.0751
3H5946B2K3PG2N019,PASS,0,A1_golden,660848506.7,A1,0.5773,0.9135,1.2131,0.4397,-0.0188,0.7798,58.9525,141.2208,268.9377,167.9413,189.7981,104.0496
3H5946B2K3PG2N019,PASS,0,A1_golden,660848565.3,A1,0.5773,0.9134,1.2133,0.4397,-0.0269,0.7791,59.5813,141.2796,268.8613,168.2077,189.8847,104.0305
M7K245992N0P3G613,PASS,0,A1_golden,660848638.7,A1,0.5773,0.9117,1.2125,0.4401,-0.0307,0.78,58.6667,140.9501,266.4914,166.6963,188.1033,102.406
M7K245992N0P3G613,PASS,0,A1_golden,660848696.2,A1,0.5772,0.9114,1.213,0.44,-0.0279,0.7788,58.3913,141.0559,266.1347,167.0354,188.2023,102.7755
M7K245992N0P3G613,PASS,0,A1_golden,660848754.1,A1,0.5771,0.9111,1.212,0.4399,-0.0415,0.7771,58.6677,141.1395,266.1602,167.0367,188.4744,102.8838
6342P9V205G3NK91D,PASS,0,A1_golden,660848827.1,A1,0.5769,0.915,1.2105,0.4392,-0.0451,0.7796,60.2739,145.7489,275.6905,173.2941,193.6208,106.1519
6342P9V205G3NK91D,PASS,0,A1_golden,660848885.4,A1,0.5768,0.9148,1.2092,0.4392,-0.0392,0.7775,60.5827,145.8716,275.563,173.8519,193.5837,106.0054
6342P9V205G3NK91D,PASS,0,A1_golden,660848942.7,A1,0.5767,0.9147,1.2119,0.4391,-0.0282,0.7781,59.9105,145.7955,275.3592,173.2055,193.2002,106.1137
5326K2NP1D19G40X9,PASS,0,A1_golden,660849015.5,A1,0.5767,0.9142,1.2121,0.439,-0.0365,0.7788,60.8977,145.6547,277.9074,173.2117,194.9817,106.6998
5326K2NP1D19G40X9,PASS,0,A1_golden,660849073.7,A1,0.5766,0.914,1.2121,0.439,-0.0342,0.7788,60.4646,145.4427,277.6526,172.9095,194.6353,106.6934
5326K2NP1D19G40X9,PASS,0,A1_golden,660849131.7,A1,0.5766,0.9139,1.2119,0.439,-0.0368,0.7772,60.2425,145.4144,277.8309,172.9342,194.4373,106.7125
322KG089JNP96F541,PASS,0,A1_golden,660849205.8,A1,0.5778,0.9094,1.2096,0.4402,-0.0412,0.7797,59.0013,140.1497,272.4542,168.1051,191.3198,104.6548
322KG089JNP96F541,PASS,0,A1_golden,660849264.4,A1,0.5777,0.909,1.2091,0.4401,-0.0256,0.7781,58.5689,140.4501,272.5562,167.9449,191.0476,104.6612
322KG089JNP96F541,PASS,0,A1_golden,660849322.5,A1,0.5777,0.9093,1.2122,0.4401,-0.0304,0.7778,58.9889,140.3328,272.4287,168.247,191.3198,104.9351
1F095275N94P2K63G,PASS,0,A1_golden,660849395.6,A1,0.5768,0.9252,1.2113,0.439,-0.0271,0.7791,60.5307,145.8408,276.6843,173.5859,193.361,106.6297
1F095275N94P2K63G,PASS,0,A1_golden,660849453.1,A1,0.5766,0.925,1.2086,0.439,-0.0282,0.7776,60.8372,145.8231,276.353,173.6094,193.6456,106.5341
1F095275N94P2K63G,PASS,0,A1_golden,660849511.6,A1,0.5766,0.9252,1.21,0.439,-0.0307,0.7772,60.8728,145.7292,276.7862,173.3763,193.5466,106.617
3WN4956PZ12E92K0G,PASS,0,A1_golden,660849584.3,A1,0.5767,0.911,1.2109,0.4392,-0.0281,0.7783,59.7772,142.8843,279.3854,170.8277,195.625,107.6554
3WN4956PZ12E92K0G,PASS,0,A1_golden,660849642.9,A1,0.5766,0.9108,1.213,0.4392,-0.0241,0.7782,59.5733,143.1609,279.6657,170.9083,195.4889,107.6872
3WN4956PZ12E92K0G,PASS,0,A1_golden,660849700.2,A1,0.5766,0.9107,1.2129,0.4391,-0.0318,0.7767,59.7331,142.9051,279.1305,171.3914,195.6992,107.6108
91EN5WZ42P9362K0G,PASS,0,A1_golden,660849773.9,A1,0.5768,0.9105,1.2129,0.4393,-0.0314,0.779,59.8964,143.3075,276.0982,171.8075,194.4126,106.3112
91EN5WZ42P9362K0G,PASS,0,A1_golden,660849832.1,A1,0.5767,0.9102,1.2127,0.4392,-0.0384,0.7781,60.0129,143.3135,275.8179,172.039,194.4497,106.5087
91EN5WZ42P9362K0G,PASS,0,A1_golden,660849890.3,A1,0.5766,0.9104,1.2123,0.4392,-0.0322,0.778,60.15,143.2294,275.9962,171.898,194.1775,106.8463
PG10N54K9322C96G3,PASS,0,A1_golden,660849963.1,A1,0.5774,0.9139,1.2116,0.4398,-0.0238,0.7789,59.5288,142.0742,268.2752,169.7629,189.4146,103.935
PG10N54K9322C96G3,PASS,0,A1_golden,660850021.3,A1,0.5772,0.9137,1.2122,0.4397,-0.0274,0.7778,59.3882,142.0269,268.2497,170.0037,189.3033,103.6483
PG10N54K9322C96G3,PASS,0,A1_golden,660850079,A1,0.5772,0.9136,1.2124,0.4397,-0.0194,0.7782,59.3898,142.3359,268.53,170.346,189.093,104.1197
9PD39GK56P2N19204,PASS,0,A1_golden,660850151.8,A1,0.5769,0.9172,1.2232,0.4392,-0.0271,0.7788,60.612,144.4321,284.3544,171.5835,199.3363,109.7258
9PD39GK56P2N19204,PASS,0,A1_golden,660850209.7,A1,0.5768,0.9165,1.2234,0.4391,-0.0347,0.7791,60.1283,144.7155,284.4818,170.7908,199.1507,110.0316
9PD39GK56P2N19204,PASS,0,A1_golden,660850267.2,A1,0.5768,0.9171,1.2214,0.4391,-0.0226,0.7794,59.8998,144.6103,284.9404,171.0187,199.2126,109.6493
0N19G22KPDW693542,PASS,0,A1_golden,660850340.4,A1,0.5767,0.9153,1.2099,0.439,-0.0419,0.7783,61.2668,147.57,274.3909,175.7443,193.0518,105.7697
0N19G22KPDW693542,PASS,0,A1_golden,660850398.4,A1,0.5766,0.9146,1.2113,0.4389,-0.0348,0.7795,61.3516,147.7848,274.6967,175.6121,193.0889,105.655
0N19G22KPDW693542,PASS,0,A1_golden,660850456.4,A1,0.5766,0.9139,1.2106,0.4389,-0.0297,0.7771,61.1143,147.958,274.1106,175.5109,193.0023,105.6805
PC43N92Z102KG6592,PASS,0,A1_golden,660850528.8,A1,0.5763,0.9141,1.2121,0.4388,-0.0397,0.778,61.0476,148.1417,286.7242,176.6864,199.559,110.0443
PC43N92Z102KG6592,PASS,0,A1_golden,660850586.7,A1,0.5762,0.9136,1.2116,0.4388,-0.029,0.7791,61.4918,148.2988,287.0045,176.6553,199.8188,110.4393
PC43N92Z102KG6592,PASS,0,A1_golden,660850644.8,A1,0.5762,0.9135,1.2092,0.4388,-0.0296,0.7791,61.18,148.1622,286.9026,176.8363,199.5961,110.0507
G329699HFK250PN41,PASS,0,A1_golden,660850717,A1,0.5778,0.9085,1.2103,0.4402,-0.0367,0.7778,58.0568,139.8585,273.1422,166.7633,192.0744,104.9606
G329699HFK250PN41,PASS,0,A1_golden,660850774.3,A1,0.5776,0.908,1.2102,0.4401,-0.035,0.7786,58.1735,139.4467,272.8619,166.3123,191.8146,104.8014
G329699HFK250PN41,PASS,0,A1_golden,660850832.3,A1,0.5776,0.9078,1.2095,0.4401,-0.0198,0.7777,58.4622,139.7993,273.1168,167.1353,192.0744,104.8268
56K2989PE50G41N32,PASS,0,A1_golden,660850905.5,A1,0.5766,0.9243,1.2081,0.4391,-0.0388,0.7784,61.3117,147.4503,276.7097,175.2424,194.8827,106.7061
56K2989PE50G41N32,PASS,0,A1_golden,660850964.2,A1,0.5765,0.924,1.2092,0.4391,-0.0319,0.7807,61.2519,147.4848,276.5568,175.4337,194.5981,106.8909
56K2989PE50G41N32,PASS,0,A1_golden,660851022.7,A1,0.5764,0.9241,1.2092,0.439,-0.0195,0.7777,61.3036,147.5718,276.6588,175.1208,194.8208,106.6552
P26AF2NG45910G93K,PASS,0,A1_golden,660851097.2,A1,0.5776,0.9089,1.212,0.4401,-0.0332,0.7784,57.97,138.1678,271.2311,165.4883,190.7136,104.4828
